,PPG,color,color_unit,generic,grain_index,maltster,name
642,34,11,°L,False,656,Any,CaraHell (DE)
643,34,2,°L,False,657,Any,Rahr 6-Row
644,34,5,°L,False,658,Any,Millet
645,34,100,°L,False,659,Any,Caramel/Crystal Malt - 100L
646,34,47,°L,False,660,Any,Bairds Crystal Pale
647,34,5,°L,False,661,Any,Baird's Amber Malt
648,35,20,°L,True,662,Briess,Aromatic Malt (US)
649,35,1,°L,False,663,Any,"Honey, Wildflower"
650,37,4,°L,False,664,Great Western,Northwest Pale Ale Malt
651,35,1,°L,True,665,Briess,Carapils (DE)
652,34,425,°L,True,666,Crisp,Chocolate (UK)
653,33,50,°L,True,667,Briess,Special Roast (US)
654,35,23,°L,True,668,Dingemans,Biscuit (BE)
655,47,30,°L,False,669,Any,"Brown Sugar, Golden"
656,32,340,°L,False,670,Any,Belgian Chocolate Malt
657,34,45,°L,False,671,Any,Crystal 1 ()
658,33,160,°L,False,672,Any,English Extra Dark Crystal
659,34,2,°L,False,673,Any,Floor malted bohemian pilsner malt
660,10,17,°L,False,674,Any,"Sweet Potato, Roasted"
661,34,525,°L,False,675,Any,Carafa III
662,34,121,°L,False,676,Any,Dark Crystal 2 ()
663,32,500,°L,True,677,Bairds,Chocolate (UK)
664,35,70,°L,True,678,Weyermann®,CaraMunich III (DE)
665,33,2,°L,False,679,Any,German Acid/Acidulated/Sauer Malt
666,37,1,°L,True,680,Weyermann®,Pilsner (US)
667,34,3,°L,True,681,Weyermann®,Pale 2-Row (US)
668,34,46,°L,False,682,Weyermann®,Caramunich II
669,24,525,°L,False,683,Any,Chocolate Malt 525L
670,34,5,°L,False,684,Any,"Agave Syrup, Pale"
671,34,2,°L,False,685,Any,Caragill 2-Row
672,34,6,°L,False,686,Any,Cara Gold
673,46,0,°L,False,687,Any,Dextrose (Corn Sugar)
674,34,150,°L,False,688,Any,Coffee malt
675,34,2,°L,False,689,Any,Cherry Smoked Malt
676,34,150,°L,False,690,Any,munton's crystal 150L
677,37,2,°L,False,691,Any,Floor-Malted Bohemian Pilsner Malt
678,34,2,°L,False,692,Any,British Golden Promise
679,39,2,°L,False,693,Any,Pale Ale (DE)
680,36,2,°L,False,694,Any,Pale Wheat (DE)
681,34,5,°L,False,695,Any,Mascovado Light Brown Sugar
682,37,6,°L,False,696,Any,Castle Munich Light (15 EBC)
683,36,2,°L,False,697,Any,Australian Pilsner
684,28,2,°L,False,698,Any,"Barley, Raw"
685,34,135,°L,False,699,Bairds,Extra Dark Crystal Malt
686,35,3,°L,False,700,Any,Franco-Belges Vienna Malt
687,38,3,°L,False,701,Any,Orange Blossom Honey
688,34,1,°L,False,702,Any,Raw Wheat
689,34,420,°L,False,703,Any,Breiss Dark Chocolate
690,33,101,°L,False,704,Simpson's,Crystal Malt
691,37,2,°L,False,705,Simpson's,Best Pale Ale Malt
692,35,3,°L,True,706,Bairds,Maris Otter Pale (UK)
693,25,431,°L,False,707,Weyermann®,Roasted Barley
